@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R24

@attribute pmPositionX numeric
@attribute pmPositionY numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalWest {True,False}
@attribute legalEast {True,False}
@attribute g0PositionX numeric
@attribute g0PositionY numeric
@attribute g0Distance numeric
@attribute g0Direction {Stop,North,South,West,East}
@attribute g1PositionX numeric
@attribute g1PositionY numeric
@attribute g1Distance numeric
@attribute g1Direction {Stop,North,South,West,East}
@attribute g2PositionX numeric
@attribute g2PositionY numeric
@attribute g2Distance numeric
@attribute g2Direction {Stop,North,South,West,East}
@attribute g3PositionX numeric
@attribute g3PositionY numeric
@attribute g3Distance numeric
@attribute g3Direction {Stop,North,South,West,East}
@attribute scoreCurrent numeric
@attribute pmDirection {North,South,West,East}

@data
12,11,True,True,True,True,5,6,12,Stop,5,12,8,Stop,13,6,6,Stop,13,12,2,Stop,-1,North
12,12,True,True,True,True,5,6,13,Stop,5,12,7,Stop,13,6,7,Stop,13,12,1,Stop,-2,North
13,12,True,True,True,True,5,6,14,Stop,5,12,8,Stop,13,6,6,Stop,1000000,1000000,1000000,?,197,East
13,11,True,True,True,True,5,6,13,Stop,5,12,9,Stop,13,6,5,Stop,1000000,1000000,1000000,?,196,South
13,10,True,True,True,True,5,6,12,Stop,5,12,10,Stop,13,6,4,Stop,1000000,1000000,1000000,?,195,South
13,9,True,True,True,True,5,6,11,Stop,5,12,11,Stop,13,6,3,Stop,1000000,1000000,1000000,?,194,South
13,8,True,True,True,True,5,6,10,Stop,5,12,12,Stop,13,6,2,Stop,1000000,1000000,1000000,?,193,South
13,7,True,True,True,True,5,6,9,Stop,5,12,13,Stop,13,6,1,Stop,1000000,1000000,1000000,?,192,South
13,6,True,True,True,True,5,6,8,Stop,5,12,14,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,391,South
12,6,True,True,True,True,5,6,7,Stop,5,12,13,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,390,West
11,6,True,True,True,True,5,6,6,Stop,5,12,12,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,389,West
10,6,True,True,True,True,5,6,5,Stop,5,12,11,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,388,West
9,6,True,True,True,True,5,6,4,Stop,5,12,10,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,387,West
8,6,True,True,True,True,5,6,3,Stop,5,12,9,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,386,West
7,6,True,True,True,True,5,6,2,Stop,5,12,8,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,385,West
6,6,True,True,True,True,5,6,1,Stop,5,12,7,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,384,West
5,6,True,True,True,True,1000000,1000000,1000000,?,5,12,8,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,583,West
5,7,True,True,True,True,1000000,1000000,1000000,?,5,12,7,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,582,North
5,8,True,True,True,True,1000000,1000000,1000000,?,5,12,6,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,581,North
5,9,False,True,True,True,1000000,1000000,1000000,?,5,12,5,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,580,North
6,9,True,True,True,True,1000000,1000000,1000000,?,5,12,4,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,579,East
6,10,True,True,False,True,1000000,1000000,1000000,?,5,12,3,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,578,North
6,11,True,True,True,True,1000000,1000000,1000000,?,5,12,2,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,577,North
6,12,True,True,True,True,1000000,1000000,1000000,?,5,12,1,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,576,North
12,11,True,True,True,True,5,6,12,Stop,5,12,8,Stop,13,6,6,Stop,13,12,2,Stop,-1,North
12,12,True,True,True,True,5,6,13,Stop,5,12,7,Stop,13,6,7,Stop,13,12,1,Stop,-2,North
